,MAE,MAPE(%),RMSE,R2
LSTM,12.019865036010742,30.367636680603027,41.750127186838455,0.7050632834434509
XGBoost,4.308468341827393,15.744079649448395,7.388280516829429,0.9907636642456055
RandomForest,4.235330104827881,15.6312957406044,7.071834910334335,0.9915379285812378
Weighted Ensemble,7.778527736663818,21.780787408351898,22.168678746890002,0.9168441295623779
