,MAE,MAPE(%),RMSE,R2
XGBoost,4.197900295257568,15.69547951221466,7.320247881918642,0.9906703233718872
RandomForest,4.125069618225098,15.666349232196808,6.961810706927602,0.9915615916252136
Weighted Ensemble,4.131879806518555,15.609060227870941,7.046417830496809,0.9913552403450012
